AUROC:r(per_video),AUPR:r(per_video)
0.955,0.319
0.91,0.168
0.946,0.484
0.896,0.113
0.849,0.088
0.929,0.121
0.939,0.317
0.977,0.326
0.957,0.412
0.937,0.358
0.989,0.71
0.961,0.457
0.958,0.403
0.942,0.362
0.924,0.143
0.899,0.162
0.977,0.336
0.965,0.232
0.923,0.145
0.892,0.12
0.92,0.207
0.87,0.154
0.949,0.175
0.971,0.756
0.979,0.493
0.883,0.432
0.888,0.317
0.922,0.3
0.921,0.322
0.949,0.379
0.983,0.763
0.988,0.825
0.968,0.648
0.987,0.757
0.971,0.546
Average (Std),
0.94(0.04),0.37(0.21)
