AUROC:x_std(per_video),AUPR:x_std(per_video)
0.965,0.433
0.941,0.189
0.973,0.662
0.943,0.135
0.926,0.137
0.918,0.107
0.937,0.389
0.973,0.274
0.965,0.551
0.943,0.461
0.993,0.837
0.956,0.452
0.956,0.476
0.94,0.393
0.93,0.138
0.939,0.309
0.976,0.365
0.954,0.192
0.928,0.144
0.94,0.128
0.955,0.216
0.928,0.166
0.951,0.154
0.987,0.838
0.961,0.391
0.997,0.878
0.966,0.521
0.961,0.454
0.939,0.406
0.97,0.471
0.986,0.795
0.996,0.899
0.998,0.964
0.998,0.908
0.981,0.536
Average (Std),
0.96(0.02),0.44(0.26)
