AUROC:r(per_video),AUPR:r(per_video)
0.96,0.423
0.937,0.198
0.948,0.526
0.898,0.104
0.789,0.086
0.925,0.114
0.943,0.324
0.978,0.342
0.965,0.497
0.917,0.366
0.991,0.719
0.968,0.526
0.961,0.448
0.95,0.449
0.933,0.152
0.904,0.235
0.98,0.394
0.964,0.239
0.937,0.163
0.875,0.11
0.941,0.234
0.899,0.177
0.952,0.184
0.979,0.789
0.983,0.545
0.911,0.451
0.925,0.402
0.902,0.391
0.941,0.327
0.912,0.473
0.988,0.777
0.994,0.858
0.981,0.795
0.953,0.731
0.975,0.537
Average (Std),
0.94(0.04),0.40(0.22)
